Z-CENTRO1|765200#23.0:33.0;19.0:33.1
Z-SUR1|765200#18.0:23.0;18.0:36.0
Z-SUR2|765200#4.0:18.0;18.0:36.0
Z-CENTRO2|765200#33.0:42.0;19.0:28.0
Z-OESTE1|765200#33.0:42.0;28.0:33.1
Z-OESTE2|765200#33.0:42.0;33.1:47.0
Z-OESTE3|765200#31.0:33.0;33.1:47.0
Z-OESTE4|765200#23.0:31.0;33.1:47.0
Z-NORTE1|765200#42.0:54.0;28.0:47.0
Z-NORTE2|765200#54.0:72.0;28.0:47.0
Z-NORTE3|765200#42.0:54.0;17.0:28.0
Z-NORTE4|765200#54.0:72.0;17.0:28.0
Z-ORIENTE1|765200#31.0:42.0;1.0:19.0
Z-ORIENTE2|765200#16.0:31.0;1.0:19.0
Z-ESTE|765204#31.0:42.0;1.0:9.1
